Price,Date
269,07/05/2023
269,07/05/2023
269,08/05/2023
269,08/05/2023
269,08/05/2023
269,09/05/2023
269,09/05/2023
269,09/05/2023
269,10/05/2023
269,10/05/2023
269,10/05/2023
269,11/05/2023
269,11/05/2023
269,11/05/2023
269,12/05/2023
269,12/05/2023
269,12/05/2023
269,13/05/2023
269,13/05/2023
269,13/05/2023
269,14/05/2023
269,14/05/2023
269,14/05/2023
269,15/05/2023
269,15/05/2023
264,15/05/2023
264,16/05/2023
264,16/05/2023
264,16/05/2023
264,17/05/2023
264,17/05/2023
264,17/05/2023
264,18/05/2023
264,18/05/2023
264,18/05/2023
264,19/05/2023
264,19/05/2023
264,19/05/2023
264,20/05/2023
264,20/05/2023
264,20/05/2023
264,21/05/2023
264,21/05/2023
264,21/05/2023
264,22/05/2023
264,22/05/2023
264,22/05/2023
264,23/05/2023
264,23/05/2023
