Price,Date
239,07/05/2023
239,07/05/2023
239,08/05/2023
239,08/05/2023
239,08/05/2023
239,09/05/2023
239,09/05/2023
239,09/05/2023
239,10/05/2023
239,10/05/2023
239,10/05/2023
239,11/05/2023
239,11/05/2023
219,11/05/2023
219,12/05/2023
219,12/05/2023
209,12/05/2023
209,13/05/2023
219,13/05/2023
219,13/05/2023
219,14/05/2023
219,14/05/2023
219,14/05/2023
219,15/05/2023
219,15/05/2023
219,15/05/2023
219,16/05/2023
219,16/05/2023
219,16/05/2023
219,17/05/2023
209,17/05/2023
209,17/05/2023
219,18/05/2023
219,18/05/2023
209,18/05/2023
209,19/05/2023
219,19/05/2023
219,19/05/2023
219,20/05/2023
219,20/05/2023
219,20/05/2023
219,21/05/2023
219,21/05/2023
219,21/05/2023
219,22/05/2023
219,22/05/2023
219,22/05/2023
219,23/05/2023
219,23/05/2023
219,23/05/2023
219,24/05/2023
219,24/05/2023
209,24/05/2023
209,25/05/2023
219,25/05/2023
219,25/05/2023
219,26/05/2023
219,26/05/2023
219,26/05/2023
219,27/05/2023
219,27/05/2023
219,28/05/2023
219,28/05/2023
219,28/05/2023
219,29/05/2023
219,29/05/2023
219,29/05/2023
219,30/05/2023
219,30/05/2023
219,30/05/2023
219,31/05/2023
219,31/05/2023
219,31/05/2023
219,01/06/2023
219,01/06/2023
219,01/06/2023
219,02/06/2023
219,02/06/2023
239,02/06/2023
239,03/06/2023
239,03/06/2023
239,03/06/2023
239,04/06/2023
239,04/06/2023
239,04/06/2023
239,05/06/2023
239,05/06/2023
239,05/06/2023
239,06/06/2023
239,06/06/2023
239,06/06/2023
239,07/06/2023
239,07/06/2023
239,07/06/2023
239,08/06/2023
211,08/06/2023
211,08/06/2023
211,09/06/2023
211,09/06/2023
211,09/06/2023
211,10/06/2023
211,10/06/2023
211,10/06/2023
211,11/06/2023
211,11/06/2023
211,11/06/2023
211,12/06/2023
211,12/06/2023
290,12/06/2023
290,13/06/2023
290,13/06/2023
211,13/06/2023
211,14/06/2023
