Price,Date
273,07/05/2023
273,07/05/2023
273,08/05/2023
273,08/05/2023
273,08/05/2023
273,09/05/2023
273,09/05/2023
273,09/05/2023
273,10/05/2023
273,10/05/2023
273,10/05/2023
273,11/05/2023
273,11/05/2023
273,11/05/2023
273,12/05/2023
273,12/05/2023
273,12/05/2023
273,13/05/2023
273,13/05/2023
273,13/05/2023
273,14/05/2023
273,14/05/2023
273,14/05/2023
273,15/05/2023
273,15/05/2023
273,15/05/2023
273,16/05/2023
273,16/05/2023
273,16/05/2023
273,17/05/2023
273,17/05/2023
273,17/05/2023
273,18/05/2023
273,18/05/2023
273,18/05/2023
273,19/05/2023
273,19/05/2023
273,19/05/2023
273,20/05/2023
273,20/05/2023
273,20/05/2023
273,21/05/2023
273,21/05/2023
273,21/05/2023
273,22/05/2023
273,22/05/2023
273,22/05/2023
273,23/05/2023
273,23/05/2023
273,23/05/2023
273,24/05/2023
273,24/05/2023
273,24/05/2023
273,25/05/2023
273,25/05/2023
273,25/05/2023
273,26/05/2023
273,26/05/2023
273,26/05/2023
273,27/05/2023
273,27/05/2023
273,28/05/2023
273,28/05/2023
273,28/05/2023
273,29/05/2023
273,29/05/2023
273,29/05/2023
369,30/05/2023
369,30/05/2023
273,30/05/2023
273,31/05/2023
273,31/05/2023
273,31/05/2023
273,01/06/2023
273,01/06/2023
273,01/06/2023
273,02/06/2023
273,02/06/2023
273,02/06/2023
273,03/06/2023
273,03/06/2023
273,03/06/2023
273,04/06/2023
273,04/06/2023
273,04/06/2023
273,05/06/2023
273,05/06/2023
273,05/06/2023
273,06/06/2023
273,06/06/2023
273,06/06/2023
273,07/06/2023
273,07/06/2023
273,07/06/2023
273,08/06/2023
273,08/06/2023
273,08/06/2023
273,09/06/2023
273,09/06/2023
273,09/06/2023
273,10/06/2023
273,10/06/2023
273,10/06/2023
273,11/06/2023
273,11/06/2023
273,11/06/2023
273,12/06/2023
273,12/06/2023
273,12/06/2023
273,13/06/2023
273,13/06/2023
273,13/06/2023
273,14/06/2023
273,14/06/2023
273,14/06/2023
273,15/06/2023
273,15/06/2023
273,15/06/2023
273,16/06/2023
273,16/06/2023
273,16/06/2023
273,17/06/2023
273,17/06/2023
273,17/06/2023
273,18/06/2023
273,18/06/2023
273,18/06/2023
273,19/06/2023
273,19/06/2023
273,19/06/2023
273,20/06/2023
273,20/06/2023
273,20/06/2023
273,21/06/2023
273,21/06/2023
273,21/06/2023
273,22/06/2023
273,22/06/2023
273,22/06/2023
264,23/06/2023
264,23/06/2023
264,23/06/2023
264,24/06/2023
264,24/06/2023
264,24/06/2023
264,25/06/2023
264,25/06/2023
264,25/06/2023
264,26/06/2023
264,26/06/2023
264,26/06/2023
264,27/06/2023
264,27/06/2023
264,27/06/2023
264,28/06/2023
264,28/06/2023
264,28/06/2023
264,29/06/2023
264,29/06/2023
264,29/06/2023
264,30/06/2023
264,30/06/2023
264,30/06/2023
264,01/07/2023
264,01/07/2023
264,01/07/2023
264,02/07/2023
264,02/07/2023
264,02/07/2023
264,03/07/2023
264,03/07/2023
264,03/07/2023
264,04/07/2023
264,04/07/2023
264,04/07/2023
264,05/07/2023
264,05/07/2023
264,05/07/2023
264,06/07/2023
264,06/07/2023
264,06/07/2023
264,07/07/2023
264,07/07/2023
264,07/07/2023
264,08/07/2023
264,08/07/2023
264,08/07/2023
264,09/07/2023
264,09/07/2023
264,09/07/2023
264,10/07/2023
264,10/07/2023
264,10/07/2023
264,11/07/2023
264,11/07/2023
264,12/07/2023
264,12/07/2023
264,12/07/2023
264,12/07/2023
264,15/07/2023
264,15/07/2023
264,15/07/2023
264,16/07/2023
264,16/07/2023
264,16/07/2023
264,17/07/2023
264,17/07/2023
264,17/07/2023
264,18/07/2023
264,18/07/2023
369,18/07/2023
369,19/07/2023
369,19/07/2023
264,19/07/2023
264,20/07/2023
264,20/07/2023
264,20/07/2023
279,21/07/2023
279,21/07/2023
279,21/07/2023
279,22/07/2023
279,22/07/2023
279,22/07/2023
279,23/07/2023
279,23/07/2023
279,23/07/2023
279,24/07/2023
279,24/07/2023
279,24/07/2023
279,25/07/2023
279,25/07/2023
279,25/07/2023
279,26/07/2023
279,26/07/2023
279,26/07/2023
279,27/07/2023
279,27/07/2023
279,27/07/2023
279,28/07/2023
279,28/07/2023
279,28/07/2023
279,29/07/2023
279,29/07/2023
279,29/07/2023
279,30/07/2023
279,30/07/2023
279,30/07/2023
279,31/07/2023
279,31/07/2023
279,31/07/2023
369,01/08/2023
279,01/08/2023
279,01/08/2023
279,02/08/2023
279,02/08/2023
279,02/08/2023
279,03/08/2023
279,03/08/2023
279,03/08/2023
279,04/08/2023
279,04/08/2023
279,04/08/2023
279,05/08/2023
279,05/08/2023
279,05/08/2023
279,06/08/2023
279,06/08/2023
279,06/08/2023
279,07/08/2023
279,07/08/2023
279,07/08/2023
279,09/08/2023
279,10/08/2023
279,10/08/2023
279,10/08/2023
279,11/08/2023
279,11/08/2023
279,11/08/2023
279,12/08/2023
279,12/08/2023
279,12/08/2023
279,13/08/2023
279,13/08/2023
279,13/08/2023
279,14/08/2023
279,14/08/2023
279,14/08/2023
279,15/08/2023
279,15/08/2023
279,15/08/2023
279,16/08/2023
279,16/08/2023
279,16/08/2023
279,17/08/2023
279,17/08/2023
279,17/08/2023
279,18/08/2023
279,18/08/2023
279,18/08/2023
279,19/08/2023
279,19/08/2023
279,19/08/2023
279,20/08/2023
279,20/08/2023
279,20/08/2023
279,21/08/2023
279,21/08/2023
279,21/08/2023
279,22/08/2023
279,22/08/2023
279,22/08/2023
279,28/08/2023
279,29/08/2023
279,29/08/2023
279,29/08/2023
279,30/08/2023
279,30/08/2023
279,30/08/2023
279,31/08/2023
279,31/08/2023
279,31/08/2023
279,01/09/2023
279,01/09/2023
279,01/09/2023
279,02/09/2023
279,02/09/2023
279,02/09/2023
279,03/09/2023
279,03/09/2023
279,03/09/2023
279,04/09/2023
279,04/09/2023
279,04/09/2023
279,05/09/2023
279,05/09/2023
279,05/09/2023
279,06/09/2023
279,06/09/2023
279,06/09/2023
279,07/09/2023
279,07/09/2023
279,07/09/2023
279,08/09/2023
279,08/09/2023
279,08/09/2023
279,09/09/2023
279,09/09/2023
279,09/09/2023
279,10/09/2023
279,10/09/2023
279,10/09/2023
279,11/09/2023
279,11/09/2023
279,11/09/2023
279,12/09/2023
279,12/09/2023
279,12/09/2023
279,13/09/2023
279,13/09/2023
279,13/09/2023
279,14/09/2023
279,14/09/2023
279,14/09/2023
279,15/09/2023
279,15/09/2023
279,15/09/2023
279,16/09/2023
279,16/09/2023
279,16/09/2023
279,21/09/2023
279,22/09/2023
279,22/09/2023
279,22/09/2023
279,23/09/2023
279,23/09/2023
279,23/09/2023
279,24/09/2023
279,24/09/2023
279,24/09/2023
279,25/09/2023
279,25/09/2023
279,25/09/2023
279,26/09/2023
279,26/09/2023
279,26/09/2023
279,27/09/2023
279,27/09/2023
279,27/09/2023
279,28/09/2023
279,28/09/2023
279,28/09/2023
279,29/09/2023
279,29/09/2023
279,29/09/2023
279,30/09/2023
279,30/09/2023
279,30/09/2023
279,01/10/2023
279,01/10/2023
279,01/10/2023
279,02/10/2023
279,02/10/2023
279,02/10/2023
279,03/10/2023
279,03/10/2023
279,04/10/2023
279,04/10/2023
279,04/10/2023
279,05/10/2023
279,05/10/2023
279,05/10/2023
279,06/10/2023
279,06/10/2023
279,06/10/2023
279,07/10/2023
279,07/10/2023
279,10/10/2023
