Price,Date
5159,06/05/2023
5159,06/05/2023
5159,07/05/2023
5159,07/05/2023
5159,07/05/2023
5099,07/05/2023
5099,07/05/2023
5099,08/05/2023
5099,08/05/2023
5099,08/05/2023
5099,09/05/2023
5099,09/05/2023
4999,09/05/2023
4999,10/05/2023
4999,10/05/2023
4999,10/05/2023
4999,11/05/2023
4999,11/05/2023
4999,11/05/2023
4999,12/05/2023
4999,12/05/2023
4999,12/05/2023
4999,13/05/2023
4999,13/05/2023
4999,13/05/2023
4999,14/05/2023
4999,14/05/2023
4999,14/05/2023
4999,15/05/2023
4999,15/05/2023
4999,15/05/2023
4999,16/05/2023
4999,16/05/2023
4999,16/05/2023
4999,17/05/2023
4599,17/05/2023
4999,17/05/2023
5949,18/05/2023
4999,18/05/2023
4999,18/05/2023
4999,19/05/2023
4999,19/05/2023
4999,19/05/2023
4999,20/05/2023
4999,20/05/2023
4999,20/05/2023
4999,21/05/2023
4999,21/05/2023
4999,21/05/2023
4999,22/05/2023
4999,22/05/2023
4999,22/05/2023
4999,23/05/2023
4999,23/05/2023
