Price,Date
5880,06/05/2023
5880,06/05/2023
5880,07/05/2023
5880,07/05/2023
5880,07/05/2023
5880,07/05/2023
5880,07/05/2023
5880,08/05/2023
5880,08/05/2023
5881,08/05/2023
5881,09/05/2023
5881,09/05/2023
5881,09/05/2023
5881,10/05/2023
5881,10/05/2023
5880,10/05/2023
5880,11/05/2023
5880,11/05/2023
5879,11/05/2023
5879,12/05/2023
5879,12/05/2023
5878,12/05/2023
5878,13/05/2023
5878,13/05/2023
5879,13/05/2023
5879,14/05/2023
5879,14/05/2023
5879,14/05/2023
5879,15/05/2023
5879,15/05/2023
5885,15/05/2023
5885,16/05/2023
5885,16/05/2023
5886,16/05/2023
5886,17/05/2023
5886,17/05/2023
5885,17/05/2023
5885,18/05/2023
5885,18/05/2023
5885,18/05/2023
5885,19/05/2023
5885,19/05/2023
5884,19/05/2023
5884,20/05/2023
5884,20/05/2023
5884,20/05/2023
5884,21/05/2023
5884,21/05/2023
5884,21/05/2023
5884,22/05/2023
5884,22/05/2023
5884,22/05/2023
5884,23/05/2023
5884,23/05/2023
