Price,Date
5459,06/05/2023
5459,06/05/2023
5459,07/05/2023
5459,07/05/2023
5459,07/05/2023
5459,07/05/2023
4849,07/05/2023
5459,08/05/2023
5459,08/05/2023
5459,08/05/2023
5459,09/05/2023
5049,09/05/2023
5049,09/05/2023
5049,10/05/2023
5049,10/05/2023
4799,10/05/2023
4799,11/05/2023
4799,11/05/2023
4849,11/05/2023
5049,12/05/2023
4799,12/05/2023
4999,12/05/2023
4999,13/05/2023
4999,13/05/2023
4999,13/05/2023
4999,14/05/2023
4999,14/05/2023
5049,14/05/2023
5049,15/05/2023
5049,15/05/2023
4999,15/05/2023
4999,16/05/2023
4999,16/05/2023
4999,16/05/2023
4999,17/05/2023
5049,17/05/2023
5049,17/05/2023
6949,18/05/2023
5459,18/05/2023
5459,18/05/2023
5459,19/05/2023
5459,19/05/2023
5049,19/05/2023
5459,20/05/2023
5459,20/05/2023
5459,20/05/2023
5459,21/05/2023
5459,21/05/2023
5049,21/05/2023
5049,22/05/2023
5049,22/05/2023
5049,22/05/2023
5049,23/05/2023
5049,23/05/2023
