Price,Date
5150,06/05/2023
5150,06/05/2023
5150,07/05/2023
5150,07/05/2023
5099,07/05/2023
5099,07/05/2023
5099,07/05/2023
5099,08/05/2023
5099,08/05/2023
5099,08/05/2023
5099,09/05/2023
5099,09/05/2023
4999,09/05/2023
4999,10/05/2023
4999,10/05/2023
4999,10/05/2023
4999,11/05/2023
4999,11/05/2023
4999,11/05/2023
4999,12/05/2023
4999,12/05/2023
4999,12/05/2023
4999,13/05/2023
4999,13/05/2023
4999,13/05/2023
4999,14/05/2023
4999,14/05/2023
4999,14/05/2023
4999,15/05/2023
4999,15/05/2023
4999,15/05/2023
4999,16/05/2023
4999,16/05/2023
4999,16/05/2023
4999,17/05/2023
4999,17/05/2023
4999,17/05/2023
4999,18/05/2023
4999,18/05/2023
4999,18/05/2023
4999,19/05/2023
4999,19/05/2023
4999,19/05/2023
4999,20/05/2023
4999,20/05/2023
4999,20/05/2023
4999,21/05/2023
4999,21/05/2023
4999,21/05/2023
4999,22/05/2023
4999,22/05/2023
4999,22/05/2023
4999,23/05/2023
4933,23/05/2023
4899,23/05/2023
4899,24/05/2023
4899,24/05/2023
4899,24/05/2023
4899,25/05/2023
4899,25/05/2023
4899,25/05/2023
4899,26/05/2023
4899,26/05/2023
4849,26/05/2023
4849,27/05/2023
4849,27/05/2023
4849,28/05/2023
4849,28/05/2023
4849,28/05/2023
4849,29/05/2023
4849,29/05/2023
4849,29/05/2023
4849,30/05/2023
4849,30/05/2023
4849,30/05/2023
4849,31/05/2023
4849,31/05/2023
4849,31/05/2023
4849,01/06/2023
4849,01/06/2023
4849,01/06/2023
4849,02/06/2023
4849,02/06/2023
4849,02/06/2023
4849,03/06/2023
4849,03/06/2023
4849,03/06/2023
4849,04/06/2023
4849,04/06/2023
4849,04/06/2023
4849,05/06/2023
4849,05/06/2023
4849,05/06/2023
4849,06/06/2023
4849,06/06/2023
4849,06/06/2023
4849,07/06/2023
4849,07/06/2023
4849,07/06/2023
4849,08/06/2023
4849,08/06/2023
4849,08/06/2023
4849,09/06/2023
4849,09/06/2023
4849,09/06/2023
4849,10/06/2023
4849,10/06/2023
4849,10/06/2023
4849,11/06/2023
4849,11/06/2023
4849,11/06/2023
4849,12/06/2023
4849,12/06/2023
4849,12/06/2023
4849,13/06/2023
4849,13/06/2023
4849,13/06/2023
4849,14/06/2023
4849,14/06/2023
4849,14/06/2023
4849,15/06/2023
4849,15/06/2023
4849,15/06/2023
4849,16/06/2023
4849,16/06/2023
4849,16/06/2023
4849,17/06/2023
4849,17/06/2023
4849,17/06/2023
4849,18/06/2023
4849,18/06/2023
4849,18/06/2023
4849,19/06/2023
4849,19/06/2023
4849,19/06/2023
4849,20/06/2023
4849,20/06/2023
4849,20/06/2023
4849,21/06/2023
4849,21/06/2023
4849,21/06/2023
4849,22/06/2023
4849,22/06/2023
4849,22/06/2023
4849,23/06/2023
4849,23/06/2023
4849,23/06/2023
4849,24/06/2023
4849,24/06/2023
4849,24/06/2023
4849,25/06/2023
4849,25/06/2023
4849,25/06/2023
4849,26/06/2023
4849,26/06/2023
4809,26/06/2023
4809,27/06/2023
4809,27/06/2023
4809,27/06/2023
4809,28/06/2023
4809,28/06/2023
4809,28/06/2023
4809,29/06/2023
4809,29/06/2023
4809,29/06/2023
4809,30/06/2023
4809,30/06/2023
4594,30/06/2023
4594,01/07/2023
4594,01/07/2023
4594,01/07/2023
4594,02/07/2023
4594,02/07/2023
4594,02/07/2023
4594,03/07/2023
4594,03/07/2023
4594,03/07/2023
4594,04/07/2023
4594,04/07/2023
4594,04/07/2023
4594,05/07/2023
4594,05/07/2023
4594,05/07/2023
4594,06/07/2023
4594,06/07/2023
4594,06/07/2023
4594,07/07/2023
4594,07/07/2023
4594,07/07/2023
4594,08/07/2023
4594,08/07/2023
4594,08/07/2023
4594,09/07/2023
4594,09/07/2023
4594,09/07/2023
4594,10/07/2023
4594,10/07/2023
4594,10/07/2023
4594,11/07/2023
4594,11/07/2023
4594,12/07/2023
4594,12/07/2023
4594,12/07/2023
4594,12/07/2023
4594,15/07/2023
4594,15/07/2023
4594,15/07/2023
4594,16/07/2023
4594,16/07/2023
4594,16/07/2023
4594,17/07/2023
4594,17/07/2023
4594,17/07/2023
4594,18/07/2023
4594,18/07/2023
4594,18/07/2023
4594,19/07/2023
4594,19/07/2023
4594,19/07/2023
4594,20/07/2023
4594,20/07/2023
4594,20/07/2023
4594,21/07/2023
4594,21/07/2023
4594,21/07/2023
4594,22/07/2023
4594,22/07/2023
4594,22/07/2023
4594,23/07/2023
4594,23/07/2023
4594,23/07/2023
4594,24/07/2023
4594,24/07/2023
4594,24/07/2023
4594,25/07/2023
4594,25/07/2023
4594,25/07/2023
4594,26/07/2023
4594,26/07/2023
4594,26/07/2023
4594,27/07/2023
4594,27/07/2023
4594,27/07/2023
4594,28/07/2023
4594,28/07/2023
4899,28/07/2023
4899,29/07/2023
4899,29/07/2023
4899,29/07/2023
4899,30/07/2023
4899,30/07/2023
4899,30/07/2023
4899,31/07/2023
4899,31/07/2023
4899,31/07/2023
4899,01/08/2023
4899,01/08/2023
4899,01/08/2023
4899,02/08/2023
4899,02/08/2023
4899,02/08/2023
4899,03/08/2023
4899,03/08/2023
4899,03/08/2023
4899,04/08/2023
4899,04/08/2023
4899,04/08/2023
4899,05/08/2023
4899,05/08/2023
4899,05/08/2023
4899,06/08/2023
4899,06/08/2023
4899,06/08/2023
4899,07/08/2023
4899,07/08/2023
4899,07/08/2023
4899,09/08/2023
4899,10/08/2023
4899,10/08/2023
4899,10/08/2023
4899,11/08/2023
4899,11/08/2023
4899,11/08/2023
4899,12/08/2023
4899,12/08/2023
4899,12/08/2023
4899,13/08/2023
4899,13/08/2023
4899,13/08/2023
4899,14/08/2023
4899,14/08/2023
4899,14/08/2023
4899,15/08/2023
4899,15/08/2023
4899,15/08/2023
4899,16/08/2023
4594,16/08/2023
4899,16/08/2023
4899,17/08/2023
4899,17/08/2023
4899,17/08/2023
4899,18/08/2023
4899,18/08/2023
4899,18/08/2023
4899,19/08/2023
4899,19/08/2023
4899,19/08/2023
4899,20/08/2023
4899,20/08/2023
4899,20/08/2023
4899,21/08/2023
4899,21/08/2023
4899,21/08/2023
4899,22/08/2023
4899,22/08/2023
4899,22/08/2023
4899,23/08/2023
4899,23/08/2023
4899,23/08/2023
4899,24/08/2023
4899,24/08/2023
4899,24/08/2023
4899,25/08/2023
4899,25/08/2023
4899,25/08/2023
4899,26/08/2023
4899,26/08/2023
4899,26/08/2023
4899,27/08/2023
4899,27/08/2023
4899,27/08/2023
4899,28/08/2023
4899,28/08/2023
4899,28/08/2023
4899,29/08/2023
4899,29/08/2023
4899,29/08/2023
4899,30/08/2023
4899,30/08/2023
4899,30/08/2023
4899,31/08/2023
4749,31/08/2023
4749,31/08/2023
4749,01/09/2023
4749,01/09/2023
4749,01/09/2023
4749,02/09/2023
4749,02/09/2023
4749,02/09/2023
4749,03/09/2023
4749,03/09/2023
4749,03/09/2023
4749,04/09/2023
4749,04/09/2023
4749,04/09/2023
4749,05/09/2023
4749,05/09/2023
4749,05/09/2023
4749,06/09/2023
4749,06/09/2023
4749,06/09/2023
4749,07/09/2023
4899,07/09/2023
4698,07/09/2023
4698,08/09/2023
4698,08/09/2023
4698,08/09/2023
4698,09/09/2023
4698,09/09/2023
4698,09/09/2023
4698,10/09/2023
4698,10/09/2023
4698,10/09/2023
4698,11/09/2023
4698,11/09/2023
4698,11/09/2023
4698,12/09/2023
4698,12/09/2023
4698,12/09/2023
4698,13/09/2023
4698,13/09/2023
4698,13/09/2023
4698,14/09/2023
4698,14/09/2023
4698,14/09/2023
4698,15/09/2023
4698,15/09/2023
4698,15/09/2023
4698,16/09/2023
4698,16/09/2023
4698,16/09/2023
4698,21/09/2023
4698,22/09/2023
4698,22/09/2023
4698,22/09/2023
4698,23/09/2023
4698,23/09/2023
4698,23/09/2023
4698,24/09/2023
4698,24/09/2023
4698,24/09/2023
4698,25/09/2023
4698,25/09/2023
4698,25/09/2023
4698,26/09/2023
4698,26/09/2023
4698,26/09/2023
4698,27/09/2023
4698,27/09/2023
4698,27/09/2023
4698,28/09/2023
4698,28/09/2023
4698,28/09/2023
4698,29/09/2023
4698,29/09/2023
4598,29/09/2023
4598,30/09/2023
4598,30/09/2023
4598,30/09/2023
4598,01/10/2023
4598,01/10/2023
4598,01/10/2023
4598,02/10/2023
4598,02/10/2023
4598,02/10/2023
4598,03/10/2023
4598,03/10/2023
4598,03/10/2023
4598,04/10/2023
4598,04/10/2023
4598,04/10/2023
4598,05/10/2023
4598,05/10/2023
4598,05/10/2023
4598,06/10/2023
4598,06/10/2023
4598,06/10/2023
4598,07/10/2023
4598,07/10/2023
4598,07/10/2023
4598,10/10/2023
