Price,Date
5880,06/05/2023
5880,06/05/2023
5880,07/05/2023
5880,07/05/2023
5880,07/05/2023
5880,07/05/2023
5880,07/05/2023
5880,08/05/2023
5880,08/05/2023
5881,08/05/2023
5881,09/05/2023
5881,09/05/2023
5881,09/05/2023
5881,10/05/2023
5881,10/05/2023
5880,10/05/2023
5880,11/05/2023
5880,11/05/2023
5879,11/05/2023
5879,12/05/2023
5879,12/05/2023
5878,12/05/2023
5878,13/05/2023
5878,13/05/2023
5879,13/05/2023
5879,14/05/2023
5879,14/05/2023
5879,14/05/2023
5879,15/05/2023
5879,15/05/2023
5885,15/05/2023
5885,16/05/2023
5885,16/05/2023
5886,16/05/2023
5886,17/05/2023
5886,17/05/2023
5885,17/05/2023
5885,18/05/2023
5885,18/05/2023
5885,18/05/2023
5885,19/05/2023
5885,19/05/2023
5884,19/05/2023
5884,20/05/2023
5884,20/05/2023
5884,20/05/2023
5884,21/05/2023
5884,21/05/2023
5884,21/05/2023
5884,22/05/2023
5884,22/05/2023
5884,22/05/2023
5884,23/05/2023
5884,23/05/2023
5877,23/05/2023
5877,24/05/2023
5877,24/05/2023
5877,24/05/2023
5877,25/05/2023
5877,25/05/2023
5877,25/05/2023
5877,26/05/2023
5877,26/05/2023
5877,26/05/2023
5877,27/05/2023
5876,27/05/2023
5876,28/05/2023
5876,28/05/2023
5877,28/05/2023
5877,29/05/2023
5877,29/05/2023
5877,29/05/2023
5877,30/05/2023
5877,30/05/2023
5877,30/05/2023
5877,31/05/2023
5877,31/05/2023
5877,31/05/2023
5877,01/06/2023
5877,01/06/2023
5877,01/06/2023
5877,02/06/2023
5877,02/06/2023
5878,02/06/2023
5878,03/06/2023
5878,03/06/2023
5878,03/06/2023
5878,04/06/2023
5878,04/06/2023
5878,04/06/2023
5878,05/06/2023
5878,05/06/2023
5878,05/06/2023
5878,06/06/2023
5878,06/06/2023
5725,06/06/2023
5723,07/06/2023
5723,07/06/2023
5723,07/06/2023
5718,08/06/2023
5718,08/06/2023
5718,08/06/2023
5714,09/06/2023
5714,09/06/2023
5714,09/06/2023
5716,10/06/2023
5716,10/06/2023
5716,10/06/2023
5716,11/06/2023
5716,11/06/2023
5716,11/06/2023
5716,12/06/2023
5716,12/06/2023
5716,12/06/2023
5717,13/06/2023
5717,13/06/2023
5717,13/06/2023
5722,14/06/2023
5722,14/06/2023
5722,14/06/2023
5716,15/06/2023
5716,15/06/2023
5716,15/06/2023
5719,16/06/2023
5719,16/06/2023
5719,16/06/2023
5721,17/06/2023
5721,17/06/2023
5721,17/06/2023
5721,18/06/2023
5721,18/06/2023
5721,18/06/2023
5721,19/06/2023
5721,19/06/2023
5721,19/06/2023
5720,20/06/2023
5720,20/06/2023
5720,20/06/2023
5725,21/06/2023
5725,21/06/2023
5725,21/06/2023
5724,22/06/2023
5724,22/06/2023
5724,22/06/2023
5725,23/06/2023
5725,23/06/2023
5725,23/06/2023
5716,24/06/2023
5716,24/06/2023
5716,24/06/2023
5716,25/06/2023
5716,25/06/2023
5716,25/06/2023
5716,26/06/2023
5716,26/06/2023
5716,26/06/2023
5716,27/06/2023
5716,27/06/2023
5716,27/06/2023
5724,28/06/2023
5724,28/06/2023
5724,28/06/2023
5719,29/06/2023
5719,29/06/2023
5719,29/06/2023
5726,30/06/2023
5726,30/06/2023
5726,30/06/2023
5725,01/07/2023
5725,01/07/2023
5725,01/07/2023
5725,02/07/2023
5725,02/07/2023
5725,02/07/2023
5725,03/07/2023
5725,03/07/2023
5725,03/07/2023
5711,04/07/2023
5711,04/07/2023
5711,04/07/2023
5710,05/07/2023
5710,05/07/2023
5710,05/07/2023
5706,06/07/2023
5706,06/07/2023
5706,06/07/2023
5710,07/07/2023
5710,07/07/2023
5710,07/07/2023
5714,08/07/2023
5714,08/07/2023
5714,08/07/2023
5714,09/07/2023
5714,09/07/2023
5714,09/07/2023
5714,10/07/2023
5714,10/07/2023
5714,10/07/2023
5711,11/07/2023
5711,11/07/2023
5710,12/07/2023
5710,12/07/2023
5710,12/07/2023
5711,12/07/2023
5701,15/07/2023
5701,15/07/2023
5701,15/07/2023
5701,16/07/2023
5701,16/07/2023
5701,16/07/2023
5701,17/07/2023
5701,17/07/2023
5701,17/07/2023
5699,18/07/2023
5699,18/07/2023
5699,18/07/2023
5696,19/07/2023
5696,19/07/2023
5696,19/07/2023
5705,20/07/2023
5705,20/07/2023
5705,20/07/2023
5698,21/07/2023
5698,21/07/2023
5698,21/07/2023
5695,22/07/2023
5695,22/07/2023
5695,22/07/2023
5695,23/07/2023
5695,23/07/2023
5695,23/07/2023
5695,24/07/2023
5695,24/07/2023
5695,24/07/2023
5680,25/07/2023
5680,25/07/2023
5680,25/07/2023
5675,26/07/2023
5675,26/07/2023
5675,26/07/2023
5685,27/07/2023
5685,27/07/2023
5685,27/07/2023
5685,28/07/2023
5685,28/07/2023
5685,28/07/2023
5689,29/07/2023
5689,29/07/2023
5689,29/07/2023
5689,30/07/2023
5689,30/07/2023
5689,30/07/2023
5689,31/07/2023
5689,31/07/2023
5689,31/07/2023
5692,01/08/2023
5692,01/08/2023
5692,01/08/2023
5690,02/08/2023
5690,02/08/2023
5690,02/08/2023
5691,03/08/2023
5691,03/08/2023
5691,03/08/2023
5696,04/08/2023
5696,04/08/2023
5696,04/08/2023
5712,05/08/2023
5712,05/08/2023
5712,05/08/2023
5712,06/08/2023
5712,06/08/2023
5712,06/08/2023
5712,07/08/2023
5712,07/08/2023
5712,07/08/2023
5902,09/08/2023
4698,10/08/2023
4698,10/08/2023
4698,10/08/2023
4698,11/08/2023
4698,11/08/2023
4698,11/08/2023
4698,12/08/2023
4698,12/08/2023
4698,12/08/2023
4698,13/08/2023
4698,13/08/2023
4698,13/08/2023
4698,14/08/2023
4698,14/08/2023
4698,14/08/2023
4698,15/08/2023
4698,15/08/2023
4698,15/08/2023
4698,16/08/2023
4698,16/08/2023
4698,16/08/2023
4698,17/08/2023
4698,17/08/2023
4698,17/08/2023
4698,18/08/2023
4698,18/08/2023
4698,18/08/2023
4698,19/08/2023
4698,19/08/2023
4698,19/08/2023
4698,20/08/2023
4698,20/08/2023
4698,20/08/2023
4698,21/08/2023
4698,21/08/2023
4698,21/08/2023
4698,22/08/2023
4698,22/08/2023
4698,22/08/2023
4698,23/08/2023
4698,23/08/2023
4698,23/08/2023
4698,24/08/2023
4698,24/08/2023
5911,24/08/2023
5911,25/08/2023
5911,25/08/2023
5911,25/08/2023
5911,26/08/2023
5911,26/08/2023
5911,26/08/2023
5911,27/08/2023
5911,27/08/2023
5911,27/08/2023
5911,28/08/2023
5911,28/08/2023
5696,28/08/2023
5693,29/08/2023
5693,29/08/2023
4698,29/08/2023
4698,30/08/2023
4698,30/08/2023
4698,30/08/2023
4698,31/08/2023
4698,31/08/2023
4698,31/08/2023
4698,01/09/2023
4698,01/09/2023
4698,01/09/2023
4698,02/09/2023
4698,02/09/2023
4698,02/09/2023
4698,03/09/2023
4698,03/09/2023
4698,03/09/2023
4698,04/09/2023
4698,04/09/2023
4698,04/09/2023
4698,05/09/2023
4698,05/09/2023
4698,05/09/2023
4698,06/09/2023
4698,06/09/2023
4698,06/09/2023
4698,07/09/2023
4698,07/09/2023
4698,07/09/2023
4698,08/09/2023
4698,08/09/2023
5725,08/09/2023
5726,09/09/2023
5726,09/09/2023
5726,09/09/2023
5726,10/09/2023
5726,10/09/2023
5726,10/09/2023
5726,11/09/2023
5726,11/09/2023
5726,11/09/2023
5728,12/09/2023
5728,12/09/2023
5728,12/09/2023
5902,13/09/2023
5902,13/09/2023
5901,13/09/2023
5901,14/09/2023
5901,14/09/2023
4698,14/09/2023
4698,15/09/2023
4698,15/09/2023
4698,15/09/2023
4698,16/09/2023
4698,16/09/2023
4698,16/09/2023
4698,21/09/2023
4648,22/09/2023
4648,22/09/2023
4648,22/09/2023
4648,23/09/2023
4648,23/09/2023
4648,23/09/2023
4648,24/09/2023
4648,24/09/2023
4648,24/09/2023
4648,25/09/2023
4648,25/09/2023
4598,25/09/2023
4598,26/09/2023
4598,26/09/2023
4598,26/09/2023
4598,27/09/2023
4598,27/09/2023
4598,27/09/2023
4598,28/09/2023
4598,28/09/2023
4598,28/09/2023
4598,29/09/2023
4598,29/09/2023
4598,29/09/2023
4598,30/09/2023
4598,30/09/2023
4598,30/09/2023
4598,01/10/2023
4598,01/10/2023
4598,01/10/2023
4598,02/10/2023
4598,02/10/2023
4598,02/10/2023
4598,03/10/2023
4598,03/10/2023
4598,03/10/2023
4598,04/10/2023
4598,04/10/2023
4598,04/10/2023
4598,05/10/2023
4598,05/10/2023
4598,05/10/2023
4598,06/10/2023
4598,06/10/2023
4598,06/10/2023
4598,07/10/2023
4598,07/10/2023
4598,07/10/2023
4598,10/10/2023
