Price,Date
5459,06/05/2023
5459,06/05/2023
5459,07/05/2023
5459,07/05/2023
5459,07/05/2023
5459,07/05/2023
4849,07/05/2023
5459,08/05/2023
5459,08/05/2023
5459,08/05/2023
5459,09/05/2023
5049,09/05/2023
5049,09/05/2023
5049,10/05/2023
5049,10/05/2023
4799,10/05/2023
4799,11/05/2023
4799,11/05/2023
4849,11/05/2023
5049,12/05/2023
4799,12/05/2023
4999,12/05/2023
4999,13/05/2023
4999,13/05/2023
4999,13/05/2023
4999,14/05/2023
4999,14/05/2023
5049,14/05/2023
5049,15/05/2023
5049,15/05/2023
4999,15/05/2023
4999,16/05/2023
4999,16/05/2023
4999,16/05/2023
4999,17/05/2023
5049,17/05/2023
5049,17/05/2023
6949,18/05/2023
5459,18/05/2023
5459,18/05/2023
5459,19/05/2023
5459,19/05/2023
5049,19/05/2023
5459,20/05/2023
5459,20/05/2023
5459,20/05/2023
5459,21/05/2023
5459,21/05/2023
5049,21/05/2023
5049,22/05/2023
5049,22/05/2023
5049,22/05/2023
5049,23/05/2023
5049,23/05/2023
5049,23/05/2023
5049,24/05/2023
5049,24/05/2023
5099,24/05/2023
5099,25/05/2023
5099,25/05/2023
5049,25/05/2023
5049,26/05/2023
5049,26/05/2023
5049,26/05/2023
5049,27/05/2023
5049,27/05/2023
5049,28/05/2023
4949,28/05/2023
4949,28/05/2023
4949,29/05/2023
4949,29/05/2023
5499,29/05/2023
5499,30/05/2023
4749,30/05/2023
4749,30/05/2023
5499,31/05/2023
5499,31/05/2023
5499,31/05/2023
4749,01/06/2023
5049,01/06/2023
5399,01/06/2023
5399,02/06/2023
5399,02/06/2023
5399,02/06/2023
5399,03/06/2023
5399,03/06/2023
5399,03/06/2023
5399,04/06/2023
5399,04/06/2023
5399,04/06/2023
5399,05/06/2023
5399,05/06/2023
5399,05/06/2023
5399,06/06/2023
5399,06/06/2023
5399,06/06/2023
5399,07/06/2023
5399,07/06/2023
5179,07/06/2023
4989,08/06/2023
4979,08/06/2023
4849,08/06/2023
4849,09/06/2023
4849,09/06/2023
5886,09/06/2023
5886,10/06/2023
5888,10/06/2023
4849,10/06/2023
4449,11/06/2023
4449,11/06/2023
4499,11/06/2023
5888,12/06/2023
5888,12/06/2023
5619,12/06/2023
5619,13/06/2023
5619,13/06/2023
4849,13/06/2023
5619,14/06/2023
4849,14/06/2023
5767,14/06/2023
5329,15/06/2023
5329,15/06/2023
5712,15/06/2023
5712,16/06/2023
5712,16/06/2023
5593,16/06/2023
5329,17/06/2023
5329,17/06/2023
5893,17/06/2023
5595,18/06/2023
5900,18/06/2023
4449,18/06/2023
5595,19/06/2023
5595,19/06/2023
5900,19/06/2023
5595,20/06/2023
5900,20/06/2023
5900,20/06/2023
4399,21/06/2023
5900,21/06/2023
5474,21/06/2023
4969,22/06/2023
4969,22/06/2023
5074,22/06/2023
5900,23/06/2023
3999,23/06/2023
5474,23/06/2023
5900,24/06/2023
4399,24/06/2023
4399,24/06/2023
5485,25/06/2023
5888,25/06/2023
5485,25/06/2023
5485,26/06/2023
5485,26/06/2023
5900,26/06/2023
4649,27/06/2023
4349,27/06/2023
4649,27/06/2023
4499,28/06/2023
4499,28/06/2023
4649,28/06/2023
5059,29/06/2023
5059,29/06/2023
5499,29/06/2023
5499,30/06/2023
4599,30/06/2023
4699,30/06/2023
4649,01/07/2023
4399,01/07/2023
4649,01/07/2023
4649,02/07/2023
4649,02/07/2023
4699,02/07/2023
4699,03/07/2023
4699,03/07/2023
4749,03/07/2023
4899,04/07/2023
4899,04/07/2023
4649,04/07/2023
4649,05/07/2023
4199,05/07/2023
4649,05/07/2023
5450,06/07/2023
4649,06/07/2023
5429,06/07/2023
5429,07/07/2023
5429,07/07/2023
5429,07/07/2023
5429,08/07/2023
5429,08/07/2023
5429,08/07/2023
5429,09/07/2023
4599,09/07/2023
5429,09/07/2023
5429,10/07/2023
5429,10/07/2023
5419,10/07/2023
5419,11/07/2023
4999,11/07/2023
5419,12/07/2023
4599,12/07/2023
4399,12/07/2023
